Name,Project,Description,Flowsheet module,Unit models,Unit model repositories,"Inherited model (name, unit model)",Inherited model repository,Control volumes,Control volume repositories,Property packages,Property package repositories,Reaction packages,Reaction package repositories,Configurations,Specifications for operating conditions,Mandatory config options
Activity coefficient model,IDAES,NRTL and Wilson activity coefficient methods,,,,,,,,,idaes/models/properties/activity_coeff_models/activity_coeff_prop_pack.py,,,,,
Activity coefficient model: benzene-toluene-xylene VLE,IDAES,"Example property package for the VLE calculations for a Benzene-Toluene-o-Xylene
system. If using the activity coefficient models (NRTL or Wilson), the user is
expected to provide the parameters necessary for these models. ",,,,,,,,,idaes/models/properties/activity_coeff_models/BTX_activity_coeff_VLE.py,,,,,
Activity coefficient model: methane combustion,IDAES,"Property package for the VLE calculations for methane combustion.
system.",,,,,,,,,idaes/models/properties/activity_coeff_models/methane_combustion_ideal.py,,,,,
ADM1 to ASM1 Translator,WaterTAP,,,Translator_ADM1_ASM1,watertap/unit_models/translators/translator_adm1_asm1.py,Translator,idaes/models/unit_models/translator.py,,,"ADM1ParameterBlock
ASM1ParameterBlock
(Liq phase)","watertap/property_models/unit_specific/activated_sludge/adm1_properties.py
watertap/property_models/unit_specific/activated_sludge/asm1_properties.py",ADM1ReactionParameterBlock,watertap/property_models/unit_specific/activated_sludge/adm1_reactions.py,"outlet_state_defined
has_phase_equilibrium
inlet_property_package
inlet_property_package_args
outlet_property_package
outlet_property_package_args
reaction_package
reaction_package_args","Inlet feed state variables (i.e., temperature, pressure, volumetric flowrate, solute compositions, cations, anions).",
ADM1 to ASM2d Translator,WaterTAP,,,Translator_ADM1_ASM2D,watertap/unit_models/translators/translator_adm1_asm2d.py,Translator,idaes/models/unit_models/translator.py,,,"ModifiedADM1ParameterBlock
ModifiedASM2dParameterBlock","watertap/property_models/unit_specific/activated_sludge/modified_adm1_properties.py
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_properties.py","ModifiedADM1ReactionParameterBlock
ModifiedASM2dReactionParameterBlock","watertap/property_models/unit_specific/activated_sludge/modified_adm1_reactions.py
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_reactions.py","outlet_state_defined
has_phase_equilibrium
inlet_property_package
inlet_property_package_args
outlet_property_package
outlet_property_package_args
inlet_reaction_package
inlet_reaction_package_args
outlet_reaction_package
outlet_reaction_package_args","Inlet feed state variables (i.e., temperature, pressure, volumetric flowrate, solute compositions).",
Aeration Basin (ZO),WaterTAP,,,AerationBasinZO,watertap/unit_models/zero_order/aeration_basin_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Aeration Tank,WaterTAP,,,AerationTank,watertap/unit_models/aeration_tank.py,"CSTR Injection, CSTR_Injection",watertap/unit_models/cstr_injection.py,,,"ASM1ParameterBlock
ASM2dParameterBlock
ModifiedASM2dParameterBlock
ADM1ParameterBlock
(Single Liq phase)","watertap/property_models/unit_specific/activated_sludge/asm1_properties.py;
watertap/property_models/unit_specific/activated_sludge/asm2d_properties.py;
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_properties.py;
watertap/property_models/unit_specific/activated_sludge/adm1_properties.py","ASM1ReactionParameterBlock;
ASM2dReactionParameterBlock;
ModifiedASM2dReactionParameterBlock;
ADM1ReactionParameterBlock","watertap/property_models/unit_specific/activated_sludge/asm1_reactions.py
watertap/property_models/unit_specific/activated_sludge/asm2d_reactions.py
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_reactions.py;
watertap/property_models/unit_specific/activated_sludge/adm1_reactions.py","material_balance_type
energy_balance_type
momentum_balance_type
has_heat_transfer
has_pressure_change
has_equilibrium_reactions
has_phase_equilibrium
has_heat_of_reaction
electricity_consumption
has_aeration","Inlet feed state variables (i.e. temperature, pressure, component flowrates), volume or hydraulic retention time, injection rates for all components, lumped mass transfer coefficient for oxygen*, dissolved oxygen concentration at equilibrium*, if heat transfer is included: heat duty, if pressure change is included: change in pressure.
*These degrees of freedom should only be included if the oxygen injection rate is not specified and needs to be calculated.",
Air Flotation (ZO),WaterTAP,,,AirFlotationZO,watertap/unit_models/zero_order/air_flotation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
"Air separation equilibrium, Peng-Robinson",IDAES,Air separation phase equilibrium package using Peng-Robinson EoS.,,,,,,,,,idaes/models/properties/modular_properties/examples/ASU_PR.py,,,,,
Anaerobic Digester,WaterTAP,,,AD,watertap/unit_models/anaerobic_digester.py,,,,,"ADM1ParameterBlock (Liq phase);
ADM1_vaporParameterBlock (Vap phase)","watertap/property_models/unit_specific/anaerobic_digestion/adm1_properties.py;
watertap/property_models/unit_specific/anaerobic_digestion/adm1_properties_vapor.py",ADM1ReactionParameterBlock,watertap/property_models/unit_specific/anaerobic_digestion/adm1_reactions.py,"material_balance_type
energy_balance_type
momentum_balance_type
has_heat_transfer
has_pressure_change
has_equilibrium_reactions
has_phase_equilibrium
has_heat_of_reaction
liquid_property_package
liquid_property_package_args
vapor_property_package
vapor_property_package_args
reaction_package
reaction_package_args","Inlet feed state variables (temperature, pressure, component flowrates), cation concentration, anion concentration, liquid volume, vapor volume, liquid outlet temperature.","dynamic
has_holdup
property_package
property_package_args"
Anaerobic Digestion (ZO),WaterTAP,,,AnaerobicDigestionOxidationZO,watertap/unit_models/zero_order/anaerobic_digestion_oxidation_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Anaerobic Digestion Reactive (ZO),WaterTAP,,,AnaerobicDigestionReactiveZO,watertap/unit_models/zero_order/anaerobic_digestion_reactive_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
ASM1 to ADM1 Translator,WaterTAP,,,Translator_ASM1_ADM1,watertap/unit_models/translators/translator_asm1_adm1.py,Translator,idaes/models/unit_models/translator.py,,,"ASM1ParameterBlock
ADM1ParameterBlock
(Liq phase)","watertap/property_models/unit_specific/activated_sludge/asm1_properties.py
watertap/property_models/unit_specific/activated_sludge/adm1_properties.py",ADM1ReactionParameterBlock,watertap/property_models/unit_specific/activated_sludge/adm1_reactions.py,"outlet_state_defined
has_phase_equilibrium
inlet_property_package
inlet_property_package_args
outlet_property_package
outlet_property_package_args
reaction_package
reaction_package_args","Inlet feed state variables (i.e., temperature, pressure, volumetric flowrate, solute compositions, cations, anions).",
ASM2d to ADM1 Translator,WaterTAP,,,Translator_ASM2d_ADM1,watertap/unit_models/translators/translator_asm2d_adm1.py,Translator,idaes/models/unit_models/translator.py,,,"ModifiedADM1ParameterBlock
ModifiedASM2dParameterBlock","watertap/property_models/unit_specific/activated_sludge/modified_adm1_properties.py
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_properties.py","ModifiedADM1ReactionParameterBlock;
ModifiedASM2dReactionParameterBlock","watertap/property_models/unit_specific/activated_sludge/modified_adm1_reactions.py;
watertap/property_models/unit_specific/activated_sludge/modified_asm2d_reactions.py","outlet_state_defined
has_phase_equilibrium
inlet_property_package
inlet_property_package_args
outlet_property_package
outlet_property_package_args
bio_P
inlet_reaction_package
inlet_reaction_package_args
outlet_reaction_package
outlet_reaction_package_args","Inlet feed state variables (i.e., temperature, pressure, volumetric flowrate, solute compositions).",
Autothermal Hydrothermal Liquefaction (ZO),WaterTAP,,,ATHTLZO,watertap/unit_models/zero_order/autothermal_hydrothermal_liquefaction_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
Backwash Solids Handling (ZO),WaterTAP,,,BackwashSolidsHandlingZO,watertap/unit_models/zero_order/backwash_solids_handling_zo.py,,,,,"WaterParameterBlock
(Liq phase)",watertap/property_models/water_prop_pack.py,,,"database
process_subtype
isothermal
isobaric",,
"Benzene-toluene equilibrium, ideal",IDAES,Benzene-Toluene phase equilibrium package using ideal liquid and vapor.,,,,,,,,,idaes/models/properties/modular_properties/examples/BT_ideal.py,,,,,
"Benzene-toluene equilibrium, Peng-Robinson",IDAES,Benzene-toluene phase equilibrium package for liquid and vapor using the Peng-Robinson equation of state.,,,,,,,,,idaes/models/properties/modular_properties/examples/BT_PR.py,,,,,
